claim	text	argument_sum	argument_annotator_1	stance_annotator_1	aspect_1_annotator_1	aspect_2_annotator_1	aspect_3_annotator_1	argument_annotator_2	stance_annotator_2	aspect_1_annotator_2	aspect_2_annotator_2	aspect_3_annotator_2	argument_annotator_3	stance_annotator_3	aspect_1_annotator_3	aspect_2_annotator_3	aspect_3_annotator_3
Донорство необходимо обществу и безопасно	По статистике, более 90% доноров не доживают до момента проведения исследования.	2	1	против	Влияние на здоровье			1	против	Влияние на здоровье			0				
Донорство необходимо обществу и безопасно	При использовании донорской крови снижается вероятность развития кровотечений, предотвращается развитие инфекций и инфицирование ран, снижается риск образования тромбов, улучшает состояние при отравлении тяжелыми металлами, помогает при инсультах, эпилепсии и ряде других заболеваний.	2	1	за	Влияние на здоровье			1	за	Влияние на здоровье			0				
Донорство необходимо обществу и безопасно	При этом по данным ВОЗ, система донации сокращает риск хронической инфекции, повышает иммунный ответ и снижает смертность, включая случаи внутрибольничных инфекций.	2	1	за	Влияние на здоровье			1	за	Влияние на здоровье			0				
Донорство необходимо обществу и безопасно	Также в США отмечается, что среди доноров, в том числе и из развивающихся стран, наблюдается рост числа заражений ВИЧ и туберкулёзом из-за отказа от донорства.	2	1	за	Влияние на здоровье			1	и за, и против	Влияние на здоровье			0				
Киберспорт следует сделать олимпийским видом спорта	Бывший президент Международной федерации компьютерных игр (IICE) считает, что нынешний вид спорта имеет признаки азартной игры, а не спорта.ccordingшись добиваться высоких результатов в киберспорте очень сложно из-за большого количества технических проблем и отсутствия чётких правил,  заявил Тиль Швайгер.шись стремиться к победе в киберсоревнованиях нужно исключительно силой воли,  подчеркнул он.ничью победу в киберспорт играет большое количество факторов,  в том числе удача, удача и ещё раз удача,  рассказал Тиль  Швайгерт.язательно участвовать в кибертурнирах,  считает он.законодательство и условия их проведения требуют специальных оговорок,  так как  киберспорт изначально  возник	3	1	против	Деньги	Юридический аспект		1	и за, и против		Перспективы	Юридический аспект	1	против	Безопасность		
Киберспорт следует сделать олимпийским видом спорта	Деньги позволяют содержать высококвалифицированных специалистов, проводить различные соревнования, иметь возможность пропаганды киберспорта и привлечения новых пользователей.	2	1	за	Деньги			1	за	Деньги			0				
Киберспорт следует сделать олимпийским видом спорта	Киберспорт — один из самых популярных в мире видов отдыха.	3	1	за	Удобство и комфорт			1	за		Популярность		1	за		Популярность	
Киберспорт следует сделать олимпийским видом спорта	На следующий год киберспортивный фонд планирует потратить $10 миллионов на проведение соревнований, которые состоятся в следующем году в России.	2	1	за	Деньги			0					1	за	Деньги		
Киберспорт следует сделать олимпийским видом спорта	Ряд исследователей из МГУ считают, что если бы киберспорт действительно стал олимпийским видом, то это было бы выгодно и полезно, т.к. в России уже сейчас проводится около 15 видов спорта и в будущем все они будут признаны как спортивные.	3	1	за		Популярность		1	за	Деньги	Популярность		1	за		Популярность	
Нужно делать пенсионные сбережения	Из-за инфляции на данный момент пенсионные сбережения не дают гарантии, что ваш работодатель и пенсионный фонд выплатят вам деньги, поэтому в большинстве случаев они просто обесцениваются.	3	1	против	Деньги			1	против	Деньги	Безопасность		1	против	Деньги	Надежность	
Нужно делать пенсионные сбережения	Александр Торшин,  вице-президент  Пенсионного фонда России, считает, что отмена пенсий  это  логичный этап перехода страны на расчет  в  национальных валютах.вольтепетчеррестиджетакартафедофицерскойповышенноститеперьнароднастользатем,каконнимещетамероприятии,которыеранеепланировались,вновьучреждаются.вольтеприятныйфакт,но,неужелиегоможнообъяснить тем,ктотелоесуществовал,ибоэтотмоментнельзяобъяснятьиз-заболеванияфантазией?ничьюсторонуфакта,но онреализуетпредполагаемую стратегиюпу	3	1	за	Надежность			1	за	Надежность			1	за	Деньги	Уровень жизни	
Нужно делать пенсионные сбережения	Благодаря действиям правительства страны, в том числе решению вопроса о пенсионном возрасте, мы смогли привлечь в пенсионный фонд более двух триллионов долларов.	2	1	против	Надежность			1	за	Деньги	Доходность		0				
Нужно делать пенсионные сбережения	быть осторожным.  это означает:  иметь  накопления  и  ни  в  коем  случае  не  делать  пенсионные  сбережения  втом банке, в котором они, по крайней мере  в ближайшие  пять лет  являются  гарантированным  вкладом  и,если  такая  ситуация  возникнет,  по  истечении  такого  же  времени  с  целью  последующего  ихсчета в банке, где они  будут  гарантированы  на  все  случаи  жизни,  но  ни в  каких  других.	2	1	за	Надежность			1	и за, и против	Надежность			0				
Нужно делать пенсионные сбережения	В 2017 году в мире, по данным Всемирного банка, было зафиксировано 172 млн человек без пенсионного обеспечения.	3	1	за	Надежность			1	против		Популярность		1	за	Деньги	Уровень жизни	
Нужно делать пенсионные сбережения	В 2018 году пенсионный фонд фиксировал повышение средней пенсии по старости на 3,5 тыс. рублей.авок ко всему российские пенсионеры могут остаться без пенсий из-за рубежа.авок профсоюзы предлагают повысить пенсионный возраст до 65 лет для мужчин и 63 лет для женщин.емь пенсионных законопроектов, на рассмотрении которых настаивает рабочая группа, будут направлены на доработку в правовом управлении Госдумы до конца этого месяца.правительственный акт должен обеспечить возможность самозанятым гражданам регистрироваться в качестве индивидуальных предпринимателей и вести расчёты в системе обязательного пенсионного страхования в случае увольнения и получения пособия по безработице.анкционированный государством переходный период должен быть увеличен до шести месяцев для людей, начавших трудовую деятельность после 1 января	3	1	против	Надежность			1	против	Надежность			1	за	Деньги		
Нужно делать пенсионные сбережения	"В этом случае даже в том случае, если в перспективе пенсионные накопления не будут инвестированы в активы высокого риска, их стоимость будет постоянно расти.правительственный акт, позволяющий вкладывать средства НПФ в облигации федерального займа; международное соглашение, вступившее в силу 2 февраля 2006 года; международное решение, вступившие в силу 12 ноября 2011 года.правительственные акты, позволяющие вкладывать пенсионные накопительные счета в инвестиционные фонды; международное экономическое соглашение, согласно которому государства-члены обязуются не инвестировать пенсионные фонды в активы, находящиеся за пределами территории страны, с которой у неё связаны экономические отношения; международное инвестиционное соглашение, предусматривающее в качестве одной из целей своей деятельности создание рабочих мест и рост благосостояния людей; международное пенсион"	2	0					1	за	Деньги	Доходность		1	за	Деньги		
Нужно делать пенсионные сбережения	"И если люди захотят взять пенсионные средства с биржи, то это будет сделать не сложно;"	2	1	за	Удобство и комфорт			1	за	Удобство и комфорт			0				
Нужно делать пенсионные сбережения	Негативная оценка пенсионных накоплений, по данным ПФР на конец прошлого года, составила 9,5 трлн рублей.	2	1	против	Надежность			1	против		Популярность		0				
Нужно делать пенсионные сбережения	По данным американских исследователей, пенсионные деньги в настоящее время считаются самым надежным инструментом накопления, даже в том случае, если на их инвестирование в течение длительного периода не было израсходовано никаких средств.	2	1	за	Надежность			1	за	Надежность			0				
Нужно делать пенсионные сбережения	По сути, это является примером обесценивания сберегательных средств граждан, что вызывает социальное недовольство.	3	1	против	Надежность			1	против	Надежность			1	против	Надежность		
Нужно делать пенсионные сбережения	"При этом в ведомстве отмечают, что на рынке пенсионных фондов сложилась критическая ситуация, связанная с высокой волатильностью цен на деньги и увеличением их номинальной стоимости, а также с низкими доходами НПФ.ccordingшись решение Верховного суда о незаконности пенсионных накоплений было отменено, однако, как подчеркнул глава надзорного ведомства, вопрос о правопреемстве пока не решен.шись решении суда о неправомерности пенсионной реформы было отменяно, однако же в ведомстве отметили, что вопрос о правах на деньги, полученные НПФ в результате реформы, все ещё остаётся предметом споров и дискуссий.язательно указывать свои источники информации;язательно указание номера телефона;язательно указания электронной почты;обязательно указание"	2	1	и за, и против	Надежность			1	против	Надежность			0				
Нужно делать пенсионные сбережения	При этом в Пенсионном фонде не исключают в будущем применения для накопительной части пенсии виртуальной системы индивидуального пенсионного капитала, которая призвана обеспечить увеличение поступлений в пенсионный фонд от инвестиций средств за счет повышения доверия граждан к системе пенсионных накоплений.	2	0					1	за	Надежность	Популярность		1	за	Удобство и комфорт		
Нужно делать пенсионные сбережения	"Следует делать пенсионную сбережения, которые вернут в виде процентов, полученных за активы, в том числе активы, которые были начислены в результате обесценения;"	2	1	за	Надежность			1	за	Надежность			0				
Нужно использовать криптовалюту и инвестировать в неё	анонимность обеспечивает анонимность всей деятельности, в том числе по покупке, продаже и обмену биткоинами.обавок отметили, что отсутствие возможности проводить детальный анализ ситуации на площадке обмена приводит к использованию манипулятивных действий со стороны участников системы, в частности, обвала курса биткойна.	3	1	и за, и против	Безопасность			1	и за, и против	Безопасность	Доходность		1	за	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	Банк России и Евразийская экономическая комиссия (ЕЭК) подписали меморандум о создании нового стандарта для криптовалюта - нового криптокошелька, по которому для совершения банковских операций, в т.ч. платежей за товары и услуги, будут использоваться криптовалюты.	2	1	за	Безопасность			1	за		Отношение властей		0				
Нужно использовать криптовалюту и инвестировать в неё	Более 15% всех существующих криптовалют не имели хеширования, их создатели не могли их проверить.	2	1	против	Безопасность			0					1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	Большинство инвесторов предпочитают криптовалюты безналичному финансированию, так как это позволяет избежать рисков инвестирования в низкокачественные финансовые инструменты.	3	1	за	Надежность			1	за	Безопасность	Надежность		1	за	Надежность		
Нужно использовать криптовалюту и инвестировать в неё	В 2014 году, в докладе американского исследовательского института OECD, сообщается, что «в некоторых регионах мира биткойн-торговля является основным источником дохода».	3	1	за	Деньги			1	за	Деньги	Доходность		1	за	Деньги		
Нужно использовать криптовалюту и инвестировать в неё	В 2014 году, когда началась паника на рынках, некоторые биткойны стали восприниматься как что-то надёжное, так как верили, что их можно использовать в качестве предоплаты за товар или услуги. каittee Иди Западе считают биткойн средством манипуляции, его использование негативно влияет на экономику. дшись Западе полагают биткойнов средством манипуляции и их использование негативно сказывается на экономике.ничью инфраструктуру майнинг-ферм используют около двух третей всех майнинговых ферм в мире.ноклассники предпочитают цифровые деньги традиционным бумажным, так они меньше подвержены манипуляциям  и лучше подходят для хранения наличности и международных платежей.нениями предпочитают цифровым деньги традиционным  бумажным	3	1	и за, и против	Безопасность			1	и за, и против	Надежность	Доходность		1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	В 2017 году  правительство Швейцарии  постановило,  что  криптовалюта  является  законным платёжным средством на территории Швейцарии  и  что использование  биткойнов  должно  быть  строго  ограничено  суммой,  превышающей  10  000  швейцарских  франков.ccordingобавок облегчением для банков,  а  также  для тех, кто  хочет  увеличить  количество  биткоинов  за  пределы  Швейцарии  или  расплатиться  за товары  на  их  основе  в  других  странах.обавокФонтанке:  У ЦБ есть версия,  по которой  Биткойны  являются  инструментом,  с  помощью  которого отмывание	2	0					1	за		Отношение властей		1	за	Удобство и комфорт		
Нужно использовать криптовалюту и инвестировать в неё	В июне 2019 года  Банк Эстонии сообщил, что  около  15 тыс.  крипто-адресов в стране содержат  незащищённые ключи шифрования.	3	1	против	Безопасность			1	против	Безопасность			1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	В мае было обнаружено, что пользователи криптовалютами используют их в своей финансовой и компьютерной сферах для получения незаконной прибыли.	3	1	против	Безопасность			1	против	Безопасность	Юридический аспект		1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	В настоящее время в биткойнах зафиксированы значительные потери.	3	1	против	Деньги			1	против	Надежность			1	против	Деньги		
Нужно использовать криптовалюту и инвестировать в неё	В настоящее время криптовалюта используется в качестве средства платежа на большинстве территорий мира, в том числе на Мальте, Украине, Молдове, Грузии, Норвегии, Германии и ряде других стран.росовест проектирование, строительство и эксплуатацию криптовалетных центров и их инфраструктуры, в которой могут использоваться уязвимости.росовестчивое хранение информации о транзакциях, в частности, в зашифрованном виде. недобросовестчивое хранение или уничтожение информации об этих транзакции, особенно в случае утраты пользователем контрольного числа биткойнов. добросовестчивое хранение и уничтожение информации, содержащей эти сведения, в случае хищения их третьим лицом.шиськалькулятор, калькулятор платежей, модуль для создания виртуальных счетов и платежей	3	1	за	Удобство и комфорт			1	за		Отношение властей		1	за		Удобство и комфорт	
Нужно использовать криптовалюту и инвестировать в неё	"в отличие от банковских счетов, криптовалюта гарантирует безопасность хранения криптовалютами, и, кроме того, не имеет никакой финансовой составляющей;"	2	1	за	Безопасность			1	за	Безопасность			0				
Нужно использовать криптовалюту и инвестировать в неё	В результате проведённых исследований подтвердился высокий уровень рисков, связанных с покупкой биткойнов через интернет, а также отсутствие возможности проверить адрес получателя платежа перед покупкой.	3	1	против	Безопасность			1	против	Безопасность			1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	В результате хакеры смогли похитить более 220 млн биткойнов со счетов нескольких тысяч человек.ccordingшисьшисьвольтерешитерешитерешитешитерешитерешитеождитедайтеождитедайтеподождитеподождитекогдаподождитепокаподождитепередождитепокапокаподождитепокаподождиподождитедоскажитепокаподожалеееевеевеевеевевеевеееевевеееевеовеевеевеовеовеевеовееловеевеевееваовеевееееевовеевеевовеевеевоевеевеговеевеевеovoевеовеееовеевеовоевеовеевоевеовеovoевеевеовоовеевеovoовеевеововеевеновоевеовеевуovoовеовеовеевуновоовеевеovovaevoevoewovaev	3	1	против	Безопасность			1	против	Безопасность			1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	В случае потери контрольной суммы или потери контрольного числа злоумышленники могут получить доступ к капиталу, находящемуся в криптовалюте, либо к инвестиционным ресурсам на бирже.	2	1	против	Безопасность			1	против	Безопасность			0				
Нужно использовать криптовалюту и инвестировать в неё	В статье есть данные, что в ноябре 2013 года цена биткойна поднялась до 8,1 доллара США.	2	1	за	Деньги			1	за	Деньги	Доходность		0				
Нужно использовать криптовалюту и инвестировать в неё	В статье приводится доклад, в которой утверждается, что некоторые российские программисты стали использовать программы для майнинга криптовалюта в качестве средства вывода и для хранения биткойна, а другие начали пользоваться бонусами, которые позволяют покупать биткойн.	2	1	за	Деньги			1			Доходность		0				
Нужно использовать криптовалюту и инвестировать в неё	в США уже почти год действует запрет на использование биткойновых токенов для проведения банковских операций, так как не могут быть использованы криптоактивы в качестве средств платежа.	3	1	против	Удобство и комфорт			1	против		Отношение властей		1	против		Удобство и комфорт	
Нужно использовать криптовалюту и инвестировать в неё	В то же время власти заявили, что будут использовать крипторубль как средство обойти санкции против России и обойти ограничения, накладываемые на финансовые организации.фметовод ?шись	3	1	за	Удобство и комфорт			1	за		Отношение властей		1	за	Деньги		
Нужно использовать криптовалюту и инвестировать в неё	в ходе публичных обсуждений, проведенных Министерством финансов России, отмечалось,  что для большинства финансовых организаций в России наибольшую сложность представляет применение криптовалюта  и инвестирование в нее.	3	1	против	Удобство и комфорт			1	против	Удобство и комфорт			1	против	Удобство и комфорт		
Нужно использовать криптовалюту и инвестировать в неё	"В частности, в сентябре 2017 года The New Yorker опубликовала информацию о том, что у нескольких десятков тысяч пользователей криптовалюта биткойн-кошельков из США и других стран была возможность обналичивать средства в результате ошибки или технического сбоя.вольте включить мозг;руйте включить мозги;руйте выключить мозги;руйте выключить мозг;руйте отключить мозги;руйтесь выключить мозги ;руйте выключить компьютеры;руйтесь включить компьютеры;руйте включить компьютеры выключить компьютеры ;руйте включить компьютер выключить компьютеры выключить машины выключить машины компьютеры выключить компьютер выключить компьютер включить компьютеры выклю компьютеры выключить выключить компьютеры включить компьютеры включить машины выключить компьютеры выключил компьютеры выключить компьютерах выключить компьютеры отключить компьютеры выключить телефоны выключить компьютеры погасить сигарету затушить сигарету затушиться сигарету затушится сигарету затушатся выключить сигарету"	3	1	против	Безопасность			1	против	Безопасность			1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	В частности, из-за ошибок из-за отсутствия доверия к продавцам, криптовалюты могут быть связаны с мошенничеством в различных сферах.	3	1	против	Безопасность			1	против	Безопасность			1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	В этом случае, риски становятся значительно выше, поскольку не все криптовалюты можно свободно обменивать на деньги, а значит, и инвестировать в них.	3	1	против	Удобство и комфорт			1	против	Деньги	Доходность		1	против		Удобство и комфорт	
Нужно использовать криптовалюту и инвестировать в неё	Власти Малайзии заявили, что у них нет доказательств того, что распространение таких биткойнов представляет угрозу для национального бюджета.	3	1	за	Безопасность			1	за	Безопасность	Отношение властей		1	за	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	Вместе с тем, если токен будет иметь анонимность (в т.ч. после его депонирования), он не будет уязвим для атак, так как нет гарантии, что этот токен вообще будет существовать.	2	1	за	Безопасность			1	за	Безопасность			0				
Нужно использовать криптовалюту и инвестировать в неё	Госпожа Соронин в интервью заявила, что криптовалюта является способом, позволяющим избежать уплаты налогов с помощью денежных переводов с кошелька на кошелек и наоборот.	3	1	за	Деньги			1	за		Доходность		1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	Длительный срок хранения биткойнов, а также отсутствие их связи с биржей могут стать причиной для злоупотреблений, говорится в статье.	2	1	против	Безопасность			1	против	Безопасность			0				
Нужно использовать криптовалюту и инвестировать в неё	Если кто-то пытается украсть биткойн через сеть биткойн-центров, они, вероятно, знают, что если он найдёт биткойн-центр и будет пытаться продать его, у него могут возникнуть сложности, особенно если будет действовать в открытую.	3	1	за	Безопасность			1	за	Безопасность			1	за	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	Если у компании возникнут подозрения, что компания, выдающая биткойны за товары и услуги, не является добросовестной, то она может быть оштрафована на сумму до 1,5 млн долларов США. д международное агентство  Bloomberg  считает, что  биткойн  является  основным  инструментом  теневой  экономики  и  средством  отмывания  нелегальных  доходов  и,  соответственно,  обездвижения  основной части  жителей  планеты,  которые  вынуждены  экономить  на  покупке  товаров  и услуг.ccording международное агентство Moody  считает  биткоин  одной  из  главных  угроз  мировой  экономике  и его  можно  рассматривать  как	3	1	против	Безопасность			1	против	Безопасность	Юридический аспект		1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	Если человек потерял свои деньги (даже небольшую сумму), он всё равно может их восстановить при помощи криптовалютами.	2	1	за	Безопасность			1	за	Надежность			0				
Нужно использовать криптовалюту и инвестировать в неё	заявил он,  использование криптовалюта является одним из  способов обойти санкции и  обойти  требования Центробанка  о  соблюдении  конфиденциальности  информации,  составляющей  банковскую  тайну,  раскрытой  в  ходе  банковского  аудита.вольте приветствовать Вас, уважаемый Председатель Центрального банка Российской Федерации  Сергей  Игнатьев,  заявил  глава  Банка  Норвегии  Рагнар   Сульберг,  открывая  заседание.вольте пожаловать в Центральный банк Российской Федерации, уважаемый Сергей Игнатьев  Сергей Игнатьевич,  начал  он, обращаясь  к председателю ЦБ  и  предложил  ему  начать  с  приветствия.решите, уважаемый  Председатель  Центробанка,  сказал  глава	3	1	за	Удобство и комфорт			1	против	Безопасность	Юридический аспект		1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	заявил он, комментируя публикацию результатов расследования, в частности, о возможном занижении цены биткойна на черном рынке в результате манипуляций.	2	1	против	Деньги			1	против	Деньги	Юридический аспект		0				
Нужно использовать криптовалюту и инвестировать в неё	Комитет по иностранным делам Сената США одобрил закон, позволяющий правительству и правоохранительным органам следить за финансовыми транзакциями в Интернете.	2	0					1	и за, и против	Безопасность			1	за	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	Криптовалюта может быть использована в основном для спекуляций, что, однако, не гарантирует их абсолютную безопасность.	3	1	против	Безопасность			1	против	Безопасность			1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	Криптовалюта может стать частью современной экономики США уже в ближайшие 10 лет, заявил в интервью CNN министр финансов США Стивен Мнучин.	3	1	за		Перспективы		1	за		Отношение властей	Перспективы	1	за		Перспективы	
Нужно использовать криптовалюту и инвестировать в неё	Криптовалютная биржа не гарантировала защиты участников, но защищала их от взлома и распространения мошеннических данных.	2	0					1	за	Безопасность			1	за	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	Криптоэкономическая модель в условиях высокой стоимости криптовалютами (как инструментом финансовых коммуникаций) не работает из-з-за высокой вероятности появления рисков при их хранении и операциях на межбанковском рынке.	3	1	против	Безопасность			1	против	Безопасность			1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	Кроме того, она является одним из основных каналов отмывания денежных средств.	3	1	против	Безопасность			1	против		Юридический аспект		1	против	Безопасность		
Нужно использовать криптовалюту и инвестировать в неё	"Кроме того, при создании виртуальных валют не используются настоящие деньги, что делает такие виртуальные валюты неконвертируемыми и проблемными с точки зрения регулирования. ч проектирование цифровых финансовых институтов;"	3	1	против	Безопасность			1	против		Юридический аспект	Удобство и комфорт	1	против	Безопасность	Удобство и комфорт	
Нужно использовать криптовалюту и инвестировать в неё	Крупнейшие банки могут запретить выпуск электронных валют - это приведет к потере ими привлекательности на мировом рынке, уверен премьер-министр России Михаил Касьянов.	3	1	против		Перспективы		1	против	Надежность	Перспективы		1	против		Перспективы	
Нужно использовать криптовалюту и инвестировать в неё	На данный момент, по его словам, в мире действует около ста стран, в которых нет закона о криптовалютах.	2	1	против	Удобство и комфорт			0					1	против	Безопасность	Юридический аспект	
Нужно использовать криптовалюту и инвестировать в неё	На Западе биткойны уже несколько десятилетий как являются основной платежной валютой.	3	1	за		Популярность		1	за		Юридический аспект		1	за	Удобство и комфорт		
