topic	claim	source	text	argument_sum	argument_annotator_1	stance_annotator_1	aspect_1_annotator_1	aspect_2_annotator_1	aspect_3_annotator_1	argument_annotator_2	stance_annotator_2	aspect_1_annotator_2	aspect_2_annotator_2	aspect_3_annotator_2	argument_annotator_3	stance_annotator_3	aspect_1_annotator_3	aspect_2_annotator_3	aspect_3_annotator_3
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Выступая на брифинге после встречи с польским президентом Анджеем Дудой, он обвинил Советский Союз не только в развязывании Второй мировой войны, но и в запуске холокоста Польша и польский народ первыми почувствовали на себе сговор тоталитарных режимов.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Глава МИД ФРГ Хайко Маас, однако, в ответ заявил, что поставки вооружений Украине не помогут завершить конфликт в Донбассе Германия не ставит право Украины на самозащиту под сомнение, но конфликт в Донбассе можно урегулировать только дипломатическим путём.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Для этого, по словам главы МИД Украины Дмитрия Кулебы, в отсутствие гарантий безопасности со стороны Запада Украина вынуждена наращивать свои вооружения, укреплять союзы с малыми странами и добиваться отмены запуска газопровода Северный поток-2.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Документ устанавливает правовую защиту над коренными народами от лишения их целостности, культурных ценностей и разжигания розни и ненависти против них.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Если гены размножаются по наследству, то мемы размножаются подражанием.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Есть большой запрос на справедливость.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Жанр этот носит в первую очередь развлекательный характер и должен позабавить зрителя.	1	1	за	Влияние на психику			0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Заслужить внимание и уважение через демонстрацию реальных достижений оказывается невозможно.	1	1	против	Перспективы			0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Зеленский заявил, что Европа не сможет чувствовать себя в полной безопасности, пока Россия делает вид, что международного права просто не существует.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Игра требует зрителей, которые становятся источником самоутверждения, она затягивает участника в свой мир, даёт ему ощущение сиюминутного счастья.	1	1	за	Влияние на психику			0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Игровой челлендж в этих условиях является первым позитивным опытом, полученным со сверстниками из другой религиозной и этнической среды.	2	1	за	Перспективы			0					1	за	Общение с людьми		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Интернет-мемы, как правило, требуют более динамичного взаимодействия.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Как заявил министр иностранных дел Украины Кулеба, русские на Украине это национальное меньшинство, права которого защищены Конституцией наравне с другими.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Кандидат исторических наук М. С. Петренко считает челлендж проявлением виртуализации современной социальной реальности.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Кандидат исторических наук М. С. Петренко также воспринимает видеочеллендж как эффективный инструмент манипулирования людьми.	3	1	против	Влияние на психику			1	против	Влияние на психику			1	против	Общение с людьми		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Коломойский пытается через суд добиться признания национализации незаконной и отменить уже вынесенное решение, предписывающее ему возместить убытки государства, понесённые после национализации Приватбанка для компенсации плохих кредитов, розданных, согласно заявлениям руководства Национального банка Украины, структурам, близким к Коломойскому и его бизнес-партнёрам госбюджету пришлось потратить 5 млрд долларов.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Комментируя в конце апреля 2019 года заявление президента РФ Путина о возможном введении упрощённого порядка выдачи российских паспортов гражданам Украины, Владимир Зеленский заявил в Facebook, что, по его мнению, российские власти зря тратят время, пытаясь соблазнить граждан Украины паспортами РФ Возможно, и найдётся тот, кто до сих пор находится под влиянием пропаганды.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Кроме того, они предусматривают дисциплинарную ответственность за нарушение режима прекращения огня.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Кроме того, проектом предусмотрено восстановление мира и государственного суверенитета на временно оккупированных территориях Донецкой и Луганской областей, осуществление комплекса международно-правовых, политико-дипломатических, гуманитарных и экономических мер Крым это Украина.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	МакГонигал утверждала, что равный статус и доверие, существующие в играх, дают возможность участнику почувствовать себя в безопасности.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Мир становится похожим на спектакль, важное место занимает уже не сама реальность, а её символическое обозначение.	1	1	против	Перспективы			0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Мотивом участия в челлендже является, по мнению Петренко, не стремление к самовыражению, не попытка установить рекорд и не желание преодолеть себя.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Мы будем предоставлять украинское гражданство представителям всех народов, которые страдают от авторитарных и коррумпированных режимов.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	На выполнение задания расходуется энергия, время, силы.	1	1	против	Влияние на психику			0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	На фантиках печатались задания, результаты их авторы предлагали размещать в интернет например, сказать слово гусь с втянутыми щеками или узнать друга по запаху, подумать о последнем дне жизни, сделать селфи на самой высокой точке города.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Над страной нависла угроза введения диктатуры со стороны некомпетентного, коррумпированного и предавшего свои предвыборные обещания режима!.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Например, мемы играют значительную роль в традиционных фольклорных практиках.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Некоторые челленджи превращались в короткометражные фильмы с сюжетом, персонажами и шутками.	2	0					1	за	Перспективы	Перспективы		1	за	Интеллектуальное развитие		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Никто не хочет, чтобы Украина становилась пороховой бочкой, где Крым и Донбасс бикфордов шнур.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Обычно задания формируются под влиянием актуальных в данное время интернет-трендов.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Они поэтому более полно выражают культуру участия, чем вирусные медиа.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Они предполагают полный запрет ведения огня, размещения вооружения в населённых пунктах и вблизи них, наступательных и разведывательно-диверсионных действий.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Особый состязательный челлендж для бегунов предполагает, что они выходят на пробежку со своими собаками.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Партия Оппозиционная платформа За жизнь в своём заявлении обвинила власти в попытке скрыть некомпетентность путём введения цензуры Именно журналисты сделали достоянием общественности групповщину, интриги, аморальность и коррумпированность представителей этой власти.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Петренко считает, что поглощение симулякрами объективной реальности привело к тому, что сама виртуальная игра в челленджи стала иметь реальные последствия для общества.	1	1	против	Перспективы			0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	По версии властей, это должно было повысить ответственность журналистов и препятствовать распространению недостоверной информации.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	По его мнению, элементы челленджа заставляют их подняться над рутиной заданий, в этом случае у самих проектов появляются шансы на повышение модульности и дальнейшее развитие.	1	1	за	Влияние на психику			0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	По их мнению, мемы являются артефактами цифровой культуры, основаны на прямом участии.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	По их мнению, смысл челленджа состоит в использовании коммуникативной неудачи как инструмента создания комического эффекта.	1	1	за	Влияние на психику			0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	По их мнению, цифровая культура размывает границу между производителями и потребителями культуры, что ведет к более открытой, демократичной медиа-среде.	2	1	за	Перспективы			0					1	за	Общение с людьми		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	По их мнению, челленджи создают коммуникацию с обратной связью, что позволяет их активно использовать в коммерческой сфере.	2	1	за	Доходность			0					1	за	Доходность		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	По мнению коллектива авторов статьи Видеоблогинг и современные подростки опасности интернет-пространства, видео, содержащие челлендж, рассчитаны в первую очередь на подростковую аудиторию, которая стремится к самоутверждению, признанию и острым ощущениям.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	По оценке МИД РФ, этот закон означает, что официальный Киев продолжает идти по пути насильственной украинизации, ассимиляции неукраиноязычного населения в нарушение Конституции страны и обязательств в сфере защиты прав человека и национальных меньшинств.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Подмена реального опыта искусственно сконструированным приводит к разрушению сознания человека.	3	1	против	Влияние на психику			1	против	Влияние на психику			1	против	Влияние на психику		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Подросток, выполнивший подобные задания, может получить сильный стресс, а в некоторых заданиях он подвергает себя опасности.	2	1	против	Влияние на психику			0					1	против	Влияние на здоровье		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Прежде всего Украину не устраивает положение о том, что передача ей контроля над неподконтрольным сегментом границы с РФ может начаться только после проведения на территории непризнанных ДНР и ЛНР местных выборов.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Пресс-секретарь президента Украины Юлия Мендель заявила, что блокировка оппозиционных телеканалов связана с защитой национальной безопасности, поскольку они превратились в инструмент пропаганды, используемый в интересах другого государства, и подтверждено финансирование этих каналов из России.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	При этом уровень антисемитизма на Украине, согласно исследованию ADL Global 100 Index от 2019 года, остаётся одним из самых высоких в Европе.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Причиной этого, по мнению М. С. Петренко, является отчуждение личности в обществе, из-за чего в виртуальном мире она способна оказаться объектом манипуляции.	1	1	против	Влияние на психику			0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Производя виртуализацию, пользователь также работает над своим имиджем, позволяя другим людям оценивать и корректировать его.	1	0					0					1	за	Общение с людьми		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	С пониманием того, что настоящая нормализация произойдет только после полной деоккупации.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	С течением времени границы должны расширяться и вхождение во взрослый мир окажется плавным.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Скрытая реклама продукта действует на уровне подсознания, а визуальный ряд демонстрирует, какие эмоции и пользу получат потребители от его приобретения.	1	1	против	Влияние на психику			0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Следующим шагом, по его словам, должно стать возвращение утраченных территорий для этого прежде всего следует апеллировать к сознанию жителей оккупированной части Донбасса и аннексированного Крыма.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Среди прочего новый президент Украины начал работу над отменой введённой при Порошенко в 2016 году формулы расчёта себестоимости электричества Роттердам, которую он считает коррупционной по этой формуле в цену электроэнергии закладывается стоимость угля согласно котировкам международной биржи в Нидерландах.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	Существенных результатов в борьбе с коррупцией на Украине добиться не удалось, что признал и сам президент Зеленский в рамках обращения к Верховной раде 20 октября 2020 года Моя оценка неудовлетворительная.	0	0					0					0				
