topic	claim	source	text	argument_sum	argument_annotator_1	stance_annotator_1	aspect_1_annotator_1	aspect_2_annotator_1	aspect_3_annotator_1	argument_annotator_2	stance_annotator_2	aspect_1_annotator_2	aspect_2_annotator_2	aspect_3_annotator_2	argument_annotator_3	stance_annotator_3	aspect_1_annotator_3	aspect_2_annotator_3	aspect_3_annotator_3
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2016/07/19/onischenko_pokemon/	Как считает советник премьера, даже обычные компьютерные игры способны нанести вред психике человека.	3	1	против	Влияние на психику			1	против	Влияние на психику			1	против	Влияние на психику		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2016/07/19/onischenko_pokemon/	Когда виртуальная реальность накладывается на окружающее человека пространство, и это не только в сакральных, памятных местах, но и в любой ситуации  дома, семьи, двора, детской площадки  это содержит, как мне кажется, очень высокий риск стирания реальности и может очень серьезно влиять на психику людей,  заявил Онищенко.	3	1	против	Влияние на психику			1	против	Влияние на психику			1	против	Влияние на психику		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/07/25/fly_with_children/	Когда лайнер начинает снижение, давление воздуха в салоне становится сильнее, из-за чего дети чувствуют боль в ушных каналах.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2016/07/19/onischenko_pokemon/	Кроме того, он выразил опасения по поводу того, что в будущем в играх с дополненной реальностью могут появиться более агрессивные образы.	1	0					0					1	против	Влияние на психику	Перспективы	
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/07/25/fly_with_children/	Кроме того, перед семейной поездкой стоит все планировать заранее и запасаться нужными вещами, к примеру, подгузниками и молоком для малышей.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/05/15/online/	Лишь четверть назвали низкие цены и экономию главной причиной использования интернета для поиска и покупки товаров.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/07/25/fly_with_children/	Маленьких пассажиров можно развлечь альбомами для раскраски, планшетами.	2	0					1	за	Развлечение			1	за	Развлечение		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/05/credit/	Молодежь, только достигшая совершеннолетия, часто злоупотребляет кредитами и берет их на модные гаджеты, дорогие автомобили, отдых за рубежом, считает Петров.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/11/no_fun_allowed/	Мы ведь говорим детям, как себя вести на улице, так же нужно говорить им и о безопасности в интернете,  отметила Войжицки.	1	0					0					1	за	Безопасность		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2015/07/21/selfi/	Мы так придем к американской модели, когда людей предупреждают, чтобы они не пихали орешки в нос, иначе можно задохнуться,  считает Чугунов.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/08/25/emotions/	Невозможно научиться невербальной коммуникации с экрана.	2	1	против	Общение с людьми			0					1	против	Общение с людьми		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/07/25/fly_with_children/	Невозмутимость родителей успокоит юных туристов, поясняет 41-летняя Эроглу.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/08/25/emotions/	Необходимо личное общение.	1	0					0					1	против	Общение с людьми		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/23/tel/	Необходимо принимать решения с учетом интересов ребенка,  добавила сенатор.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/12/18/smartphone/	Однако опасность может представлять также и радиочастотное излучение, испускаемое устройствами.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/05/credit/	Однако такое отношение к заемным средствам не соответствует изначальным целям потребительского кредитования, приводит к повышенному спросу и к тому, что банки начинают активно выдавать молодежи займы.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/05/credit/	Он также отметил, что более половины россиян от 18 до 35 лет так или иначе являются должниками банков из-за кредитов.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2016/07/19/onischenko_pokemon/	Онищенко также добавил, что такие игры способны негативно влиять не только на детей с неустойчивой психикой, но и на взрослых.	3	1	против	Влияние на психику			1	против	Влияние на психику			1	против	Влияние на психику		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/12/18/smartphone/	Оно может влиять на качество спермы у мужчин, которые носят устройства в карманах, говорится в документе.	2	1	против	Влияние на здоровье			1	против	Влияние на здоровье			0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2015/07/21/selfi/	От курения и алкоголя проблем гораздо больше,  добавил Цветков.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2018/11/22/anime/	Педагог заявила женщине, что японские рисунки разрушают психику детей и в школе есть рекомендация об их запрете.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/10/16/gadgets/	Первые делают множество фотографий своих детей и хотят оставить все случайные фото, даже не самые качественные.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/07/25/fly_with_children/	Перед полетом желательно заказать то бортовое питание, которое придется по вкусу детям, а также взять с собой их любимые закуски.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2016/07/19/onischenko_pokemon/	По его мнению, приложение, в котором соединяются виртуальный и реальный мир, может оказывать негативное влияние на психику людей.	3	1	против	Влияние на психику			1	против	Влияние на психику			1	против	Влияние на психику		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/23/tel/	По ее мнению, таким образом можно разработать и выпустить примерные рекомендации, чтобы школы не изобретали велосипед, а брали хороший опыт и пользовались.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2018/11/22/anime/	По ее словам, на следующий день после инцидента у нее состоялся разговор с директором и завучем по воспитательной работе, который объяснился и принес извинения.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2018/11/22/anime/	По ее словам, у мальчика на телефоне была обоина с анимешной девочкой, учитель отобрал смартфон во время урока, а потом заставил ребенка писать объяснительную.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/12/18/smartphone/	По мнению авторов документа, появляется все больше доказательств, что электромагнитное излучение от гаджетов увеличивает риск рака и бесплодия.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/11/no_fun_allowed/	По мнению Войжицки, лучше всего начать учить детей пользоваться телефоном примерно в средних классах школы, когда им около 11 лет.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/10/16/gadgets/	По мнению исследователей, в этой группе много родителей и активно работающих людей.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/08/25/emotions/	По правилам лагеря, его участникам запрещено пользоваться электронными устройствами.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/05/credit/	По словам Петрова, кредитование молодежи до 25 лет негативно влияет на государственные интересы по поддержке развития института брака, деторождения и инвестиций в будущее.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/08/25/emotions/	По словам самих школьников, в среднем они пишут SMS-сообщения, смотрят телевизор и играют в видеоигры четыре с половиной часа в день.	1	0					0					1	против	Развлечение		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2016/07/19/onischenko_pokemon/	Помощник премьер-министра России и бывший глава Роспотребнадзора Геннадий Онищенко заявил, что приложение Pokemon GO нельзя распространять без четкой оценки игры психологами.	1	1	против	Влияние на психику			0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/05/credit/	Потенциальных клиентов банки находят среди детей, у которых были детские и подростковые дебетовые карты.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/11/no_fun_allowed/	Потому что я хочу, чтобы люди взаимодействовали друг с другом.	1	0					1	против	Общение с людьми			0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/05/15/online/	При этом почти 94 процента за тот же период использовали интернет для поиска информации о товарах.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/10/16/gadgets/	Привычка регулярно удалять ненужные снимки  быстрый, простой и бесплатный способ сохранить высокую работоспособность вашего устройства,  подчеркнул глава Avast в России и СНГ Алексей Федоров, добавив, что нехватка объема памяти на телефоне влияет на качество работы.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2015/07/21/selfi/	Ранее 21 июля председатель петербургской Общественной палаты Николай Буров предложил делать на упаковках смартфонов, фотоаппаратов и моноподов пометки о том, что селфи могут убить, а также публиковать правила безопасного фотографирования.	1	1	против	Безопасность			0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/05/credit/	Россиянам младше 25 лет нужно выдавать кредиты только на образование или покупку жилья.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/01/26/saratosvii_iphone/	Сенатор Елена Мизулина называла его устройством, с помощью которого совершаются развратные действия против детей.	3	1	против	Безопасность			1	против	Влияние на психику			1	против	Влияние на психику		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/12/18/smartphone/	Согласно пресс-релизу департамента, хотя не выявлено четкой связи между смартфонами и различными заболеваниями, имеющихся данных достаточно, чтобы предостеречь пользователей, особенно детей, о потенциальном риске гаджетов.	3	1	и за, и против	Влияние на здоровье			1	против	Влияние на здоровье			1	и за, и против	Влияние на здоровье		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/10/16/gadgets/	Согласно результатам их исследования, пользователи теряют около 20 процентов памяти устройства, сохраняя кадры плохого качества.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/08/25/emotions/	Сотрудники Калифорнийского университета в Лос-Анджелесе решили проверить гипотезу, согласно которой частое использование цифровых средств коммуникации негативно влияет на способность понимать эмоции собеседников.	2	1	против	Общение с людьми			0					1	против	Влияние на психику		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2015/07/21/selfi/	Так, 9 июня в Ростовской области двух девочек ударило током во время съемки автопортрета на вагоне-цистерне, они были госпитализированы.	3	1	против	Безопасность			1	против	Безопасность			1	против	Безопасность		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/10/23/not_successful/	Так, американская спецслужба потребовала от компании Apple создать специальную версию iOS, которая бы позволила обойти систему безопасности iPhone стрелка из Сан-Бернардино.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/08/25/emotions/	Также им продемонстрировали видео со сценками из школьной жизни  задание осталось прежним.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/11/no_fun_allowed/	Топ-менеджер заметила, что, помимо гаджетов, дети должны также уделять внимание занятиям спортом, школе, домашней работе, чтению и другим активностям.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/07/25/fly_with_children/	Туристам нужно озаботиться досугом своих детей, чтобы те не скучали и не проказничали во время полета.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/10/16/gadgets/	У вторых не так много времени, чтобы регулярно чистить телефон,  считают они.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2015/07/21/selfi/	Угрозу для жизни представляют не селфи, а кривые руки.	1	1	за	Безопасность			0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/10/16/gadgets/	Удаление плохих фотографий со смартфона позволит быстро повысить его производительность.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/10/23/not_successful/	ФБР Соединенных Штатов не удалось взломать и получить данные из более чем половины устройств из числа тех, содержимым которых ведомство интересовалось в последний год.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2016/07/19/onischenko_pokemon/	Целью игры является поиск, ловля и тренировка покемонов.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/08/25/emotions/	Шестиклассники, которые пять дней провели без своих смартфонов, стали гораздо лучше понимать эмоциональный настрой своих собеседников, выяснили американские психологи.	3	1	против	Общение с людьми			1	против	Влияние на психику			1	против	Влияние на психику		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/07/25/fly_with_children/	Это поможет уменьшить давление на ушные каналы, поясняет эксперт.	0	0					0					0				
Детские лагеря	Детский лагерь влияет на ребенка позитивно	https://lenta.ru/news/2009/02/24/adverts/	Больше всего пользователей раздражает реклама, которую они видят, когда смотрят в интернете телепередачи или фильмы.	0	0					0					0				
Детские лагеря	Детский лагерь влияет на ребенка позитивно	https://lenta.ru/news/2013/02/06/amazon/	В пресс-релизе Amazon отмечает, что монеты предоставят разработчикам приложений новые возможности для привлечения трафика и увеличения загрузок.	0	0					0					0				
Детские лагеря	Детский лагерь влияет на ребенка позитивно	https://lenta.ru/news/2013/02/06/amazon/	Валюту можно будет тратить на приложения и игры для планшета Kindle Fire.	0	0					0					0				
Детские лагеря	Детский лагерь влияет на ребенка позитивно	https://lenta.ru/news/2019/08/21/altay/	Именно в этих отраслях мы видим наибольший потенциал, который нужно эффективно использовать в интересах населения, именно здесь будут создаваться новые инвестиционные площадки, предприятия и рабочие места, - заявил врио Главы Республики Алтай Олег Хорохордин.	0	0					0					0				
Детские лагеря	Детский лагерь влияет на ребенка позитивно	https://lenta.ru/news/2013/02/06/amazon/	Компания обещает раздать десятки миллионов долларов в виде виртуальных монет.	0	0					0					0				
Детские лагеря	Детский лагерь влияет на ребенка позитивно	https://lenta.ru/news/2009/02/24/adverts/	Лучший момент для рекламного контакта - когда человек делает покупки онлайн или сравнивает цены.	0	0					0					0				
Детские лагеря	Детский лагерь влияет на ребенка позитивно	https://lenta.ru/news/2019/08/21/altay/	Мы позиционируем себя как экологически чистый регион, где нужно развивать зеленую, экологичную экономику, в первую очередь, сельское хозяйство, с акцентом на глубокую переработку продукции, а также туризм.	0	0					0					0				
Детские лагеря	Детский лагерь влияет на ребенка позитивно	https://lenta.ru/news/2009/02/24/adverts/	Пользователи интернета наиболее восприимчивы к рекламным сообщениям, которые видят ранним вечером, сообщается на сайте NetImperative.	0	0					0					0				
